schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
12/2/2021,2021,13,FALSE,NO,17,27,DAL,DAL,-6.5,45.5,Caesars Superdome,FALSE,72,0,,DOME
12/5/2021,2021,13,FALSE,ATL,17,30,TB,TB,-10.5,51,Mercedes-Benz Stadium,FALSE,72,0,,DOME
12/5/2021,2021,13,FALSE,CHI,22,33,ARI,ARI,-7.5,43,Soldier Field,FALSE,,,,
12/5/2021,2021,13,FALSE,CIN,22,41,LAC,CIN,-2.5,49.5,Paul Brown Stadium,FALSE,,,,
12/5/2021,2021,13,FALSE,DET,29,27,MIN,MIN,-7,47,Ford Field,FALSE,72,0,,DOME
12/5/2021,2021,13,FALSE,HOU,0,31,IND,IND,-10,45.5,NRG Stadium,FALSE,72,0,,DOME
12/5/2021,2021,13,FALSE,KC,22,9,DEN,KC,-8.5,46.5,Arrowhead Stadium,FALSE,,,,
12/5/2021,2021,13,FALSE,LV,15,17,WAS,LV,-1.5,47.5,Allegiant Stadium,FALSE,,,,
12/5/2021,2021,13,FALSE,LAR,37,7,JAX,LAR,-14,48,SoFi Stadium,FALSE,72,0,,DOME
12/5/2021,2021,13,FALSE,MIA,20,9,NYG,MIA,-7,40,Hard Rock Stadium,FALSE,,,,
12/5/2021,2021,13,FALSE,NYJ,18,33,PHI,PHI,-5,44,MetLife Stadium,FALSE,,,,
12/5/2021,2021,13,FALSE,PIT,20,19,BAL,BAL,-4,44,Heinz Field,FALSE,,,,
12/5/2021,2021,13,FALSE,SEA,30,23,SF,SF,-3,45,Lumen Field,FALSE,,,,
12/6/2021,2021,13,FALSE,BUF,10,14,NE,BUF,-3,39.5,Highmark Stadium,FALSE,36,19,59,
12/9/2021,2021,14,FALSE,MIN,36,28,PIT,MIN,-3.5,45.0,U.S. Bank Stadium,FALSE,72,0,,DOME
12/12/2021,2021,14,FALSE,CAR,21,29,ATL,CAR,-2.5,41.5,Bank of America Stadium,FALSE,,,,
12/12/2021,2021,14,FALSE,CIN,23,26,SF,SF,-1.5,49.0,Paul Brown Stadium,FALSE,,,,
12/12/2021,2021,14,FALSE,CLE,24,22,BAL,CLE,-3,44.0,FirstEnergy Stadium,FALSE,,,,
12/12/2021,2021,14,FALSE,DEN,38,10,DET,DEN,-12.5,42.0,Empower Field at Mile High,FALSE,,,,
12/12/2021,2021,14,FALSE,GB,45,30,CHI,GB,-12,43.0,Lambeau Field,FALSE,,,,
12/12/2021,2021,14,FALSE,HOU,13,33,SEA,SEA,-9.5,41.0,NRG Stadium,FALSE,72,0,,DOME
12/12/2021,2021,14,FALSE,KC,48,9,LV,KC,-9.5,48.0,Arrowhead Stadium,FALSE,,,,
12/12/2021,2021,14,FALSE,LAC,37,21,NYG,LAC,-9,43.5,SoFi Stadium,FALSE,72,0,,DOME
12/12/2021,2021,14,FALSE,NYJ,9,30,NO,NO,-4.5,42.0,MetLife Stadium,FALSE,,,,
12/12/2021,2021,14,FALSE,TB,33,27,BUF,TB,-3.5,52.5,Raymond James Stadium,FALSE,,,,
12/12/2021,2021,14,FALSE,TEN,20,0,JAX,TEN,-8.5,44.5,Nissan Stadium,FALSE,,,,
12/12/2021,2021,14,FALSE,WAS,20,27,DAL,DAL,-6.5,48.0,FedEx Field,FALSE,,,,
12/13/2021,2021,14,FALSE,ARI,23,30,LAR,ARI,-3,51.0,State Farm Stadium,FALSE,72,0,,DOME
12/16/2021,2021,15,FALSE,LAC,28,34,KC,KC,-3,54.0,SoFi Stadium,FALSE,72,0,,DOME
12/18/2021,2021,15,FALSE,CLE,14,16,LV,LV,-1,40.5,FirstEnergy Stadium,FALSE,40,8,47,
12/18/2021,2021,15,FALSE,IND,27,17,NE,IND,-1.5,46.0,Lucas Oil Stadium,FALSE,72,0,,DOME
12/19/2021,2021,15,FALSE,BAL,30,31,GB,GB,-9,45.5,M&T Bank Stadium,FALSE,43,11,52,
12/19/2021,2021,15,FALSE,BUF,31,14,CAR,BUF,-14.5,43.0,Highmark Stadium,FALSE,30,8,69,
12/19/2021,2021,15,FALSE,DEN,10,15,CIN,DEN,-3,44.0,Empower Field at Mile High,FALSE,61,19,9,
12/19/2021,2021,15,FALSE,DET,30,12,ARI,ARI,-13,48.5,Ford Field,FALSE,72,0,,DOME
12/19/2021,2021,15,FALSE,JAX,16,30,HOU,JAX,-6,40.0,TIAA Bank Field,FALSE,80,12,71,
12/19/2021,2021,15,FALSE,MIA,31,24,NYJ,MIA,-10,42.0,Hard Rock Stadium,FALSE,82,9,70,
12/19/2021,2021,15,FALSE,NYG,6,21,DAL,DAL,-12,43.5,MetLife Stadium,FALSE,37,8,54,
12/19/2021,2021,15,FALSE,PIT,19,13,TEN,PIT,-1,44.0,Heinz Field,FALSE,32,11,74,
12/19/2021,2021,15,FALSE,SF,31,13,ATL,SF,-9,47.5,Levi's Stadium,FALSE,46,0,81,
12/19/2021,2021,15,FALSE,TB,0,9,NO,TB,-11.5,45.5,Raymond James Stadium,FALSE,75,0,99,
12/20/2021,2021,15,FALSE,CHI,9,17,MIN,MIN,-7,47.0,Soldier Field,FALSE,37,8,75,
12/21/2021,2021,15,FALSE,LAR,20,10,SEA,LAR,-7,47.0,SoFi Stadium,FALSE,72,0,,DOME
12/21/2021,2021,15,FALSE,PHI,27,17,WAS,PHI,-10,39.5,Lincoln Financial Field,FALSE,42,7,57,
12/23/2021,2021,16,FALSE,TEN,20,17,SF,SF,-3.5,45.5,Nissan Stadium,FALSE,48,7,46,
12/25/2021,2021,16,FALSE,ARI,16,22,IND,ARI,-3,48.0,State Farm Stadium,FALSE,72,0,,DOME
12/25/2021,2021,16,FALSE,GB,24,22,CLE,GB,-7.5,46.5,Lambeau Field,FALSE,35,11,49,
12/26/2021,2021,16,FALSE,ATL,20,16,DET,ATL,-7.5,42.5,Mercedes-Benz Stadium,FALSE,72,0,,DOME
12/26/2021,2021,16,FALSE,CAR,6,32,TB,TB,-11,44.5,Bank of America Stadium,FALSE,73,8,41,
12/26/2021,2021,16,FALSE,CIN,41,21,BAL,CIN,-7.5,43.5,Paul Brown Stadium,FALSE,52,0,63,
12/26/2021,2021,16,FALSE,DAL,56,14,WAS,DAL,-10,46.0,AT&T Stadium,FALSE,72,0,,DOME
12/26/2021,2021,16,FALSE,HOU,41,29,LAC,LAC,-13,45.5,NRG Stadium,FALSE,72,0,,DOME
12/26/2021,2021,16,FALSE,KC,36,10,PIT,KC,-10,44.5,Arrowhead Stadium,FALSE,60,22,64,
12/26/2021,2021,16,FALSE,LV,17,13,DEN,DEN,-1,41.5,Allegiant Stadium,FALSE,72,0,,DOME
12/26/2021,2021,16,FALSE,MIN,23,30,LAR,LAR,-3,48.5,U.S. Bank Stadium,FALSE,72,0,,DOME
12/26/2021,2021,16,FALSE,NE,21,33,BUF,NE,-1,43.5,Gillette Stadium,FALSE,38,13,79,
12/26/2021,2021,16,FALSE,NYJ,26,21,JAX,NYJ,-2.5,43.0,MetLife Stadium,FALSE,47,0,49,
12/26/2021,2021,16,FALSE,PHI,34,10,NYG,PHI,-11,41.0,Lincoln Financial Field,FALSE,53,9,46,
12/26/2021,2021,16,FALSE,SEA,24,25,CHI,SEA,-7,41.0,Lumen Field,FALSE,25,11,85,
12/27/2021,2021,16,FALSE,NO,3,20,MIA,MIA,-3,37.5,Caesars Superdome,FALSE,72,0,,DOME
1/2/2022,2021,17,FALSE,BAL,19,20,LAR,LAR,-7,46.5,M&T Bank Stadium,FALSE,59,6,92,
1/2/2022,2021,17,FALSE,BUF,29,15,ATL,BUF,-14,46.0,Highmark Stadium,FALSE,26,11,81,
1/2/2022,2021,17,FALSE,CHI,29,3,NYG,CHI,-6.5,36.5,Soldier Field,FALSE,25,13,74,
1/2/2022,2021,17,FALSE,CIN,34,31,KC,KC,-3.5,51.0,Paul Brown Stadium,FALSE,33,13,81,
1/2/2022,2021,17,FALSE,DAL,22,25,ARI,DAL,-6.5,52.5,AT&T Stadium,FALSE,72,0,,DOME
1/2/2022,2021,17,FALSE,GB,37,10,MIN,GB,-13,42.5,Lambeau Field,FALSE,11,9,60,
1/2/2022,2021,17,FALSE,IND,20,23,LV,IND,-8.5,46.5,Lucas Oil Stadium,FALSE,72,0,,DOME
1/2/2022,2021,17,FALSE,LAC,34,13,DEN,LAC,-7.5,46.0,SoFi Stadium,FALSE,72,0,,DOME
1/2/2022,2021,17,FALSE,NE,50,10,JAX,NE,-17.5,41.5,Gillette Stadium,FALSE,46,4,100,
1/2/2022,2021,17,FALSE,NO,18,10,CAR,NO,-7,37.0,Caesars Superdome,FALSE,72,0,,DOME
1/2/2022,2021,17,FALSE,NYJ,24,28,TB,TB,-14,47.5,MetLife Stadium,FALSE,57,9,82,
1/2/2022,2021,17,FALSE,SF,23,7,HOU,SF,-13.5,44.5,Levi's Stadium,FALSE,50,6,58,
1/2/2022,2021,17,FALSE,SEA,51,29,DET,SEA,-8.5,41.5,Lumen Field,FALSE,37,0,97,
1/2/2022,2021,17,FALSE,TEN,34,3,MIA,TEN,-3,41.0,Nissan Stadium,FALSE,43,13,93,
1/2/2022,2021,17,FALSE,WAS,16,20,PHI,PHI,-4.5,44.5,FedEx Field,FALSE,62,4,91,
1/3/2022,2021,17,FALSE,PIT,26,14,CLE,PIT,-2,42.0,Heinz Field,FALSE,25,12,60,

